School Name,Area Type,Gender,Caste,Standard,Age,Year,District,Dropout Status,Dropout Reason,Parental_Education,Family_Income,Prev_Academic_Performance,Attendance_Record,Teacher_Student_Ratio,Distance_km
Mount Litera Zee School,Urban,Female,ST,10,15,2020,Belagavi,Dropout,Poverty,No Schooling,25000,46.41,79.65,20.2,0.77
Maharishi Public School,Semi-Urban,Female,SC,10,15,2020,Tumakuru,Enrolled,Not applicable,Graduate,25000,67.74,100.0,34.5,0.68
PES Public School,Urban,Female,OBC,6,11,2024,Mysuru,Dropout,Health issues,Secondary,25000,51.07,75.51,23.7,0.21
Jain International School,Rural,Female,ST,9,14,2021,Shivamogga,Enrolled,Not applicable,Higher Secondary,15000,80.62,100.0,29.2,4.38
Freedom International School,Rural,Male,OBC,3,8,2023,Bengaluru Urban,Enrolled,Not applicable,Primary,10000,67.74,94.32,47.8,1.89
Mount Litera Zee School,Semi-Urban,Female,OBC,8,13,2023,Bengaluru Rural,Dropout,Poverty,Graduate,10000,52.757,79.65,24.9,0.25
PES Public School,Semi-Urban,Female,SC,8,13,2020,Mysuru,Enrolled,Not applicable,Primary,15000,75.84,96.36,49.0,0.77
Maharishi Public School,Semi-Urban,Male,ST,9,14,2018,Dharwad,Enrolled,Not applicable,No Schooling,15000,67.74,90.125,26.2,2.43
Freedom International School,Rural,Female,OBC,2,7,2019,Bengaluru Rural,Enrolled,Not applicable,Graduate,10000,67.74,90.125,42.2,2.98
Assisi Central School,Rural,Female,SC,1,6,2023,Belagavi,Dropout,Health issues,No Schooling,60000,52.757,78.91,36.4,2.48
Assisi Central School,Urban,Female,ST,4,9,2018,Tumakuru,Dropout,Lack of interest,Primary,50000,52.757,79.65,46.5,1.31
National Public School,Rural,Female,SC,1,6,2019,Bengaluru Urban,Dropout,Child Labour,Post-Graduate,25000,52.757,74.43,36.6,9.34
Jain International School,Semi-Urban,Male,ST,5,10,2022,Dharwad,Dropout,Other,Post-Graduate,50000,52.757,79.65,36.0,0.68
Freedom International School,Rural,Male,ST,7,12,2023,Bengaluru Rural,Dropout,Other,Secondary,25000,52.757,79.65,25.9,4.77
PES Public School,Urban,Female,SC,10,15,2021,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,25.0,0.95
New Oxford School,Semi-Urban,Female,OBC,10,15,2020,Dakshina Kannada,Enrolled,Not applicable,Secondary,60000,67.74,90.125,47.5,0.6
National Public School,Rural,Male,ST,4,9,2019,Belagavi,Enrolled,Not applicable,Primary,25000,67.74,90.125,29.8,9.86
Delhi Public School,Urban,Female,SC,1,6,2019,Tumakuru,Dropout,Child Labour,Primary,25000,52.757,79.65,31.2,2.74
Freedom International School,Semi-Urban,Female,SC,10,15,2024,Dakshina Kannada,Dropout,Other,Higher Secondary,10000,52.757,65.88,42.8,1.88
National Public School,Urban,Male,ST,7,12,2020,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,60000,67.74,90.125,30.2,1.29
Freedom International School,Urban,Male,OBC,9,14,2020,Mysuru,Enrolled,Not applicable,Higher Secondary,50000,69.84,90.125,48.6,2.81
PES Public School,Rural,Male,General,6,11,2020,Tumakuru,Enrolled,Not applicable,Higher Secondary,10000,67.74,100.0,42.1,9.69
National Public School,Rural,Male,SC,7,12,2019,Shivamogga,Enrolled,Not applicable,No Schooling,25000,67.74,94.11,37.9,2.57
National Public School,Semi-Urban,Male,ST,2,7,2020,Tumakuru,Dropout,Migration,Secondary,25000,52.757,79.65,46.4,1.74
Delhi Public School,Semi-Urban,Female,General,7,12,2023,Dharwad,Enrolled,Not applicable,No Schooling,100000,76.86,97.64,21.5,1.89
Mount Litera Zee School,Semi-Urban,Male,ST,1,6,2021,Belagavi,Enrolled,Not applicable,Secondary,100000,74.21,90.125,27.7,0.21
Freedom International School,Urban,Male,OBC,10,15,2022,Mysuru,Enrolled,Not applicable,Secondary,25000,67.74,90.43,34.0,1.27
Freedom International School,Urban,Female,General,9,14,2021,Udupi,Enrolled,Not applicable,Graduate,100000,67.74,90.125,26.8,1.98
Freedom International School,Urban,Male,General,3,8,2024,Tumakuru,Enrolled,Not applicable,Primary,10000,67.74,90.125,42.3,2.12
Maharishi Public School,Semi-Urban,Female,SC,8,13,2018,Udupi,Dropout,Child Labour,No Schooling,60000,39.31,79.65,47.6,1.95
Jain International School,Urban,Female,ST,3,8,2022,Dakshina Kannada,Enrolled,Not applicable,No Schooling,10000,67.74,92.32,32.7,1.03
New Oxford School,Urban,Female,SC,9,14,2019,Shivamogga,Enrolled,Not applicable,Higher Secondary,10000,72.94,90.125,30.3,0.37
Freedom International School,Rural,Male,ST,6,11,2022,Dakshina Kannada,Dropout,Family responsibilities,Secondary,10000,52.757,68.45,48.8,3.23
Mount Litera Zee School,Urban,Male,ST,10,15,2022,Shivamogga,Dropout,Long distance to school,No Schooling,10000,52.757,75.4,33.3,0.47
National Public School,Semi-Urban,Female,SC,6,11,2020,Bengaluru Urban,Dropout,Financial hardship,No Schooling,25000,52.757,79.65,34.7,2.85
Delhi Public School,Urban,Male,SC,5,10,2020,Mysuru,Dropout,Poverty,Higher Secondary,25000,52.757,79.65,30.5,1.48
Jain International School,Rural,Male,General,2,7,2018,Mysuru,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,47.3,7.16
Mount Litera Zee School,Rural,Male,SC,3,8,2021,Udupi,Enrolled,Not applicable,Higher Secondary,15000,67.74,100.0,37.1,2.91
Delhi Public School,Rural,Male,General,8,13,2019,Udupi,Dropout,Poverty,Higher Secondary,50000,52.757,79.65,42.9,3.15
Assisi Central School,Urban,Male,General,8,13,2024,Udupi,Enrolled,Not applicable,No Schooling,10000,71.31,91.02,44.4,1.0
Maharishi Public School,Semi-Urban,Female,OBC,10,15,2021,Tumakuru,Enrolled,Not applicable,No Schooling,100000,77.83,90.125,30.3,2.45
Assisi Central School,Urban,Male,ST,4,9,2019,Tumakuru,Dropout,Health issues,Post-Graduate,25000,52.757,79.65,33.0,2.61
Freedom International School,Rural,Female,SC,1,6,2019,Belagavi,Dropout,Financial hardship,Primary,10000,52.757,75.48,45.5,1.18
Delhi Public School,Rural,Male,OBC,5,10,2024,Tumakuru,Dropout,Long distance to school,Primary,50000,52.757,79.65,30.9,8.91
Jain International School,Rural,Female,General,3,8,2021,Tumakuru,Dropout,Other,Higher Secondary,60000,52.757,79.65,43.8,9.69
Jain International School,Semi-Urban,Female,OBC,3,8,2023,Mysuru,Enrolled,Not applicable,Graduate,25000,67.74,90.125,48.2,2.31
PES Public School,Semi-Urban,Female,General,6,11,2024,Shivamogga,Enrolled,Not applicable,Post-Graduate,10000,67.74,90.125,38.7,0.5
Freedom International School,Rural,Male,ST,8,13,2023,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,42.2,1.06
Assisi Central School,Urban,Male,General,7,12,2019,Dharwad,Enrolled,Not applicable,Primary,60000,67.74,90.125,44.2,2.66
Sri Taralabalu Central School,Semi-Urban,Female,OBC,3,8,2020,Ballari,Enrolled,Not applicable,No Schooling,10000,67.74,90.125,45.4,0.16
Maharishi Public School,Semi-Urban,Male,OBC,6,11,2022,Dharwad,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,31.9,2.28
National Public School,Rural,Female,General,9,14,2024,Tumakuru,Enrolled,Not applicable,Secondary,10000,67.74,100.0,21.5,2.44
Delhi Public School,Rural,Female,OBC,8,13,2022,Mysuru,Enrolled,Not applicable,Secondary,60000,67.74,90.57,32.1,8.11
Assisi Central School,Urban,Female,General,8,13,2023,Mysuru,Enrolled,Not applicable,Graduate,10000,67.74,90.125,40.2,0.12
Freedom International School,Rural,Female,General,6,11,2021,Shivamogga,Dropout,Lack of interest,No Schooling,25000,52.757,79.65,33.5,1.4
New Oxford School,Semi-Urban,Female,OBC,5,10,2024,Udupi,Enrolled,Not applicable,Secondary,60000,67.74,90.125,42.5,1.14
National Public School,Semi-Urban,Male,OBC,10,15,2019,Bengaluru Urban,Dropout,Other,No Schooling,10000,52.757,79.65,30.7,1.67
Assisi Central School,Semi-Urban,Male,General,3,8,2023,Dharwad,Dropout,Child Labour,Secondary,10000,52.757,79.65,39.0,2.06
Freedom International School,Urban,Male,SC,6,11,2022,Tumakuru,Dropout,Other,No Schooling,50000,35.89,79.65,25.6,2.14
Freedom International School,Urban,Female,General,1,6,2018,Shivamogga,Dropout,Migration,No Schooling,10000,48.56,79.65,42.5,2.87
PES Public School,Rural,Female,General,9,14,2023,Tumakuru,Dropout,Family Issues,No Schooling,50000,48.46,72.13,36.4,4.6
Sri Taralabalu Central School,Urban,Male,General,6,11,2023,Bengaluru Rural,Enrolled,Not applicable,Secondary,10000,67.74,90.125,26.1,1.26
Jain International School,Semi-Urban,Female,SC,10,15,2019,Ballari,Enrolled,Not applicable,Higher Secondary,25000,72.44,90.125,28.8,2.87
Delhi Public School,Urban,Male,OBC,2,7,2020,Dharwad,Dropout,Lack of interest,Secondary,10000,52.757,79.65,42.5,1.96
PES Public School,Urban,Female,OBC,7,12,2021,Tumakuru,Dropout,Health issues,Post-Graduate,100000,52.757,69.81,34.5,0.96
Delhi Public School,Urban,Female,General,7,12,2022,Dharwad,Enrolled,Not applicable,Primary,25000,67.74,90.125,26.5,0.47
Delhi Public School,Rural,Male,SC,9,14,2019,Bengaluru Rural,Enrolled,Not applicable,Primary,100000,69.53,90.125,49.0,9.17
Assisi Central School,Semi-Urban,Female,General,8,13,2018,Belagavi,Enrolled,Not applicable,Graduate,50000,67.74,90.52,41.5,1.15
Assisi Central School,Semi-Urban,Male,General,9,14,2023,Bengaluru Urban,Enrolled,Not applicable,Primary,60000,67.74,97.0,48.7,2.02
Mount Litera Zee School,Urban,Male,OBC,1,6,2024,Bengaluru Rural,Dropout,Poverty,Post-Graduate,15000,52.757,79.65,32.8,1.47
Maharishi Public School,Rural,Male,SC,3,8,2023,Bengaluru Rural,Enrolled,Not applicable,No Schooling,10000,80.41,90.125,34.3,8.12
PES Public School,Urban,Male,SC,8,13,2024,Bengaluru Rural,Enrolled,Not applicable,Post-Graduate,15000,67.74,96.54,46.9,1.84
Assisi Central School,Urban,Female,ST,6,11,2020,Belagavi,Enrolled,Not applicable,No Schooling,60000,67.74,90.125,35.8,0.28
Maharishi Public School,Semi-Urban,Female,SC,10,15,2018,Dharwad,Dropout,Other,Graduate,50000,52.757,79.65,41.2,1.3
Maharishi Public School,Semi-Urban,Female,ST,1,6,2023,Tumakuru,Enrolled,Not applicable,Secondary,50000,87.01,90.125,27.6,1.69
National Public School,Urban,Female,SC,7,12,2022,Shivamogga,Dropout,Financial hardship,Post-Graduate,10000,52.757,79.65,33.4,1.36
Maharishi Public School,Urban,Male,General,6,11,2018,Bengaluru Rural,Dropout,Health issues,No Schooling,15000,52.757,79.65,23.7,2.27
Assisi Central School,Urban,Male,ST,1,6,2018,Bengaluru Urban,Enrolled,Not applicable,Secondary,15000,67.74,90.125,26.2,2.5
PES Public School,Urban,Male,General,7,12,2024,Bengaluru Urban,Enrolled,Not applicable,Post-Graduate,15000,72.11,90.125,20.0,2.34
Mount Litera Zee School,Semi-Urban,Female,General,1,6,2022,Mysuru,Enrolled,Not applicable,Secondary,50000,67.74,90.125,21.2,0.21
Jain International School,Rural,Female,SC,3,8,2022,Mysuru,Enrolled,Not applicable,Secondary,15000,67.74,90.125,49.3,6.81
Maharishi Public School,Semi-Urban,Male,SC,2,7,2023,Dharwad,Enrolled,Not applicable,Higher Secondary,25000,67.74,90.125,27.3,1.66
Mount Litera Zee School,Rural,Female,General,7,12,2021,Shivamogga,Dropout,Poverty,Secondary,10000,52.757,79.65,39.9,9.64
Maharishi Public School,Urban,Male,ST,3,8,2022,Mysuru,Enrolled,Not applicable,Secondary,25000,100.0,90.125,45.2,2.52
Freedom International School,Semi-Urban,Male,General,3,8,2020,Udupi,Enrolled,Not applicable,Secondary,50000,67.74,90.125,36.5,2.54
Delhi Public School,Rural,Female,ST,2,7,2024,Tumakuru,Dropout,Other,Graduate,50000,52.37,79.65,24.6,1.13
Maharishi Public School,Rural,Male,General,3,8,2021,Bengaluru Rural,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,41.8,6.1
Jain International School,Urban,Female,OBC,2,7,2018,Dharwad,Enrolled,Not applicable,Primary,10000,67.74,90.125,38.0,1.47
Freedom International School,Rural,Male,SC,4,9,2020,Dharwad,Dropout,Bullying,Post-Graduate,50000,49.58,79.65,41.9,6.99
PES Public School,Rural,Male,OBC,1,6,2022,Udupi,Dropout,Family responsibilities,Graduate,50000,52.757,79.65,43.1,8.4
Maharishi Public School,Semi-Urban,Female,General,3,8,2021,Ballari,Dropout,Family responsibilities,Secondary,50000,52.14,79.13,49.3,2.85
New Oxford School,Rural,Female,OBC,5,10,2023,Dharwad,Enrolled,Not applicable,Secondary,50000,67.74,90.125,37.2,5.88
PES Public School,Semi-Urban,Male,General,9,14,2021,Belagavi,Dropout,Child Labour,Primary,50000,47.66,79.65,30.2,0.8
Maharishi Public School,Semi-Urban,Female,SC,1,6,2023,Shivamogga,Dropout,Bullying,Primary,25000,52.757,64.5,39.5,0.34
PES Public School,Semi-Urban,Female,General,9,14,2020,Mysuru,Enrolled,Not applicable,Secondary,10000,67.74,96.59,22.1,2.79
PES Public School,Urban,Female,SC,6,11,2022,Udupi,Dropout,Bullying,Primary,10000,52.757,79.65,46.9,1.78
New Oxford School,Semi-Urban,Male,SC,1,6,2021,Bengaluru Rural,Enrolled,Not applicable,Secondary,10000,67.74,90.125,23.6,2.03
Maharishi Public School,Semi-Urban,Male,ST,10,15,2018,Ballari,Dropout,Bullying,No Schooling,10000,52.757,79.65,29.8,2.74
Mount Litera Zee School,Semi-Urban,Male,SC,5,10,2024,Udupi,Enrolled,Not applicable,Post-Graduate,50000,72.38,90.125,44.5,1.1
Assisi Central School,Urban,Female,OBC,4,9,2019,Mysuru,Enrolled,Not applicable,Post-Graduate,60000,67.74,90.125,37.9,1.9
Freedom International School,Rural,Female,OBC,5,10,2021,Dakshina Kannada,Dropout,Bullying,Higher Secondary,10000,50.13,79.65,31.8,6.83
National Public School,Rural,Male,SC,4,9,2024,Bengaluru Rural,Enrolled,Not applicable,Secondary,10000,67.74,90.125,34.2,2.55
PES Public School,Semi-Urban,Male,ST,7,12,2022,Bengaluru Urban,Enrolled,Not applicable,Primary,25000,67.74,100.0,45.6,2.51
Sri Taralabalu Central School,Semi-Urban,Male,SC,6,11,2022,Tumakuru,Dropout,Child Labour,Higher Secondary,50000,47.71,76.43,30.2,2.32
New Oxford School,Urban,Male,SC,5,10,2023,Bengaluru Rural,Enrolled,Not applicable,Higher Secondary,50000,67.74,90.125,46.1,1.12
Freedom International School,Semi-Urban,Female,SC,4,9,2021,Dharwad,Dropout,Family responsibilities,Primary,50000,52.757,79.65,22.6,1.19
Freedom International School,Urban,Male,ST,3,8,2022,Udupi,Dropout,Migration,Graduate,10000,52.757,72.98,43.3,1.65
Mount Litera Zee School,Rural,Male,OBC,7,12,2022,Dharwad,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,45.4,1.66
New Oxford School,Rural,Male,ST,6,11,2019,Tumakuru,Dropout,Other,Graduate,10000,52.757,79.65,25.5,6.64
Maharishi Public School,Urban,Male,OBC,1,6,2022,Ballari,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,32.9,0.7
New Oxford School,Semi-Urban,Male,ST,10,15,2019,Tumakuru,Enrolled,Not applicable,Secondary,15000,67.74,90.125,25.0,0.83
Jain International School,Urban,Male,OBC,1,6,2022,Dharwad,Dropout,Poverty,Secondary,15000,52.757,79.65,41.2,2.44
Maharishi Public School,Semi-Urban,Female,General,1,6,2022,Udupi,Enrolled,Not applicable,Graduate,100000,67.74,90.125,36.1,0.91
New Oxford School,Urban,Female,SC,5,10,2018,Dharwad,Dropout,Child Labour,Graduate,25000,51.26,79.65,39.1,0.66
New Oxford School,Urban,Male,ST,9,14,2024,Dharwad,Dropout,Poverty,No Schooling,25000,23.42,79.65,25.9,1.56
Jain International School,Rural,Female,General,6,11,2019,Dharwad,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,26.4,7.78
New Oxford School,Semi-Urban,Female,ST,8,13,2022,Shivamogga,Enrolled,Not applicable,Primary,10000,81.34,90.125,21.2,0.8
National Public School,Urban,Female,OBC,1,6,2024,Belagavi,Enrolled,Not applicable,Higher Secondary,60000,73.89,91.93,29.7,0.33
Jain International School,Urban,Male,General,2,7,2021,Bengaluru Rural,Enrolled,Not applicable,Post-Graduate,50000,74.48,90.125,36.8,1.13
Mount Litera Zee School,Semi-Urban,Male,OBC,1,6,2018,Tumakuru,Dropout,Family responsibilities,Primary,60000,52.757,79.65,45.7,2.27
Freedom International School,Rural,Male,SC,5,10,2022,Mysuru,Dropout,Bullying,Secondary,25000,52.757,79.65,40.0,4.76
Maharishi Public School,Urban,Female,OBC,9,14,2019,Belagavi,Enrolled,Not applicable,Primary,60000,67.74,100.0,33.1,2.47
PES Public School,Urban,Female,OBC,3,8,2022,Bengaluru Urban,Dropout,Child Labour,Post-Graduate,50000,50.74,77.67,48.6,2.88
Freedom International School,Semi-Urban,Female,SC,6,11,2018,Udupi,Dropout,Health issues,Higher Secondary,25000,52.757,79.65,41.6,2.4
Maharishi Public School,Semi-Urban,Female,ST,4,9,2020,Shivamogga,Dropout,Migration,Higher Secondary,10000,52.757,79.65,47.9,1.85
Mount Litera Zee School,Urban,Male,SC,10,15,2024,Udupi,Enrolled,Not applicable,Secondary,50000,78.06,90.53,35.8,1.53
Jain International School,Semi-Urban,Female,SC,2,7,2023,Dakshina Kannada,Enrolled,Not applicable,Secondary,50000,67.74,90.125,27.8,0.22
Jain International School,Semi-Urban,Female,ST,8,13,2021,Dakshina Kannada,Enrolled,Not applicable,Primary,50000,67.74,90.125,21.6,2.95
PES Public School,Semi-Urban,Male,ST,10,15,2023,Bengaluru Urban,Dropout,Other,No Schooling,15000,52.757,79.65,41.8,1.21
Sri Taralabalu Central School,Rural,Male,ST,2,7,2024,Ballari,Dropout,Poverty,Graduate,10000,52.757,79.65,23.6,1.91
Assisi Central School,Semi-Urban,Female,ST,2,7,2019,Belagavi,Dropout,Family responsibilities,Higher Secondary,50000,38.34,65.33,29.1,2.03
Freedom International School,Urban,Male,General,6,11,2019,Udupi,Dropout,Other,Post-Graduate,10000,25.56,73.83,36.0,0.92
Jain International School,Rural,Male,ST,8,13,2021,Mysuru,Enrolled,Not applicable,Post-Graduate,15000,67.74,90.125,36.9,8.1
Jain International School,Urban,Male,SC,6,11,2022,Shivamogga,Dropout,Poverty,Secondary,50000,41.69,79.65,38.0,1.8
Maharishi Public School,Urban,Male,General,3,8,2023,Mysuru,Dropout,Health issues,Higher Secondary,50000,52.38,79.65,25.0,1.39
Maharishi Public School,Semi-Urban,Female,SC,7,12,2023,Tumakuru,Dropout,Lack of interest,Graduate,25000,52.757,79.65,31.4,2.52
Maharishi Public School,Rural,Female,General,1,6,2024,Shivamogga,Dropout,Poverty,Higher Secondary,25000,52.757,65.49,38.5,7.42
National Public School,Urban,Male,OBC,1,6,2020,Belagavi,Enrolled,Not applicable,Primary,10000,81.79,90.125,49.1,1.4
Assisi Central School,Rural,Female,OBC,5,10,2021,Bengaluru Urban,Dropout,Long distance to school,Secondary,25000,52.757,66.82,41.8,2.14
PES Public School,Rural,Female,OBC,5,10,2018,Dharwad,Enrolled,Not applicable,No Schooling,10000,67.74,92.6,47.7,8.8
Mount Litera Zee School,Semi-Urban,Male,OBC,9,14,2022,Tumakuru,Dropout,Child Labour,Post-Graduate,15000,52.757,79.65,42.9,2.37
National Public School,Semi-Urban,Female,SC,6,11,2019,Bengaluru Urban,Enrolled,Not applicable,Secondary,25000,67.74,90.125,37.8,1.24
Delhi Public School,Urban,Female,SC,5,10,2018,Bengaluru Rural,Enrolled,Not applicable,Primary,10000,75.59,90.125,25.8,1.97
New Oxford School,Rural,Female,OBC,9,14,2022,Bengaluru Rural,Dropout,Long distance to school,Higher Secondary,50000,52.757,79.65,40.0,2.45
National Public School,Semi-Urban,Male,OBC,10,15,2021,Udupi,Enrolled,Not applicable,Secondary,100000,70.06,95.42,38.7,2.8
Jain International School,Urban,Male,ST,6,11,2024,Bengaluru Rural,Enrolled,Not applicable,Primary,10000,67.74,90.84,38.1,1.21
Freedom International School,Rural,Male,ST,4,9,2024,Bengaluru Rural,Enrolled,Not applicable,No Schooling,15000,67.74,90.125,34.7,1.95
Delhi Public School,Semi-Urban,Male,General,4,9,2020,Udupi,Enrolled,Not applicable,Higher Secondary,10000,72.27,90.8,35.9,0.16
New Oxford School,Rural,Male,OBC,8,13,2022,Tumakuru,Enrolled,Not applicable,Secondary,25000,67.74,90.125,30.0,8.33
Maharishi Public School,Urban,Male,ST,4,9,2020,Dharwad,Enrolled,Not applicable,Higher Secondary,10000,67.74,93.56,35.6,1.51
Assisi Central School,Urban,Male,General,10,15,2022,Mysuru,Dropout,Child Labour,Secondary,100000,46.96,79.65,25.9,2.65
Delhi Public School,Rural,Male,SC,7,12,2022,Dharwad,Dropout,Family responsibilities,Graduate,10000,52.757,79.65,44.2,9.55
Delhi Public School,Rural,Male,OBC,7,12,2020,Ballari,Enrolled,Not applicable,Secondary,15000,67.74,90.125,25.6,5.82
Jain International School,Rural,Female,SC,6,11,2024,Tumakuru,Enrolled,Not applicable,Secondary,60000,84.64,90.125,22.5,4.55
National Public School,Semi-Urban,Female,ST,10,15,2018,Dharwad,Dropout,Family Issues,Graduate,50000,46.49,72.07,33.1,1.52
Jain International School,Semi-Urban,Male,General,9,14,2020,Dakshina Kannada,Enrolled,Not applicable,Secondary,50000,69.58,90.72,39.7,0.45
Mount Litera Zee School,Semi-Urban,Male,OBC,10,15,2022,Shivamogga,Dropout,Lack of interest,No Schooling,10000,52.757,79.65,33.1,2.43
Delhi Public School,Rural,Male,OBC,5,10,2023,Udupi,Dropout,Other,No Schooling,50000,52.757,66.3,28.3,5.41
Assisi Central School,Rural,Male,OBC,9,14,2024,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,36.7,8.62
Delhi Public School,Semi-Urban,Male,SC,5,10,2023,Mysuru,Dropout,Other,Secondary,60000,52.757,79.65,30.4,2.74
Jain International School,Semi-Urban,Male,ST,6,11,2019,Bengaluru Urban,Dropout,Other,Higher Secondary,50000,52.757,79.65,48.0,2.84
National Public School,Rural,Male,General,3,8,2024,Ballari,Enrolled,Not applicable,Primary,50000,67.74,90.125,47.7,4.0
New Oxford School,Rural,Female,General,5,10,2020,Mysuru,Dropout,Migration,No Schooling,15000,52.757,79.65,35.1,5.43
Freedom International School,Urban,Male,SC,6,11,2018,Tumakuru,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,29.8,2.36
Sri Taralabalu Central School,Semi-Urban,Male,SC,4,9,2018,Dakshina Kannada,Dropout,Other,Primary,15000,52.757,79.65,42.1,0.48
PES Public School,Semi-Urban,Female,General,2,7,2023,Bengaluru Rural,Dropout,Migration,Secondary,50000,45.08,77.44,21.1,1.84
Freedom International School,Semi-Urban,Female,OBC,1,6,2020,Bengaluru Rural,Enrolled,Not applicable,Primary,10000,67.74,95.49,34.2,0.2
Maharishi Public School,Rural,Male,OBC,9,14,2021,Dakshina Kannada,Enrolled,Not applicable,Secondary,25000,67.74,100.0,30.1,4.01
Sri Taralabalu Central School,Rural,Male,General,4,9,2024,Tumakuru,Enrolled,Not applicable,Graduate,10000,96.19,90.125,47.6,1.96
Sri Taralabalu Central School,Semi-Urban,Female,SC,9,14,2018,Bengaluru Urban,Dropout,Health issues,Primary,10000,52.757,78.88,20.4,0.63
Jain International School,Rural,Male,SC,1,6,2022,Udupi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,36.6,9.54
Mount Litera Zee School,Semi-Urban,Female,General,10,15,2020,Belagavi,Dropout,Poverty,Higher Secondary,25000,52.757,79.65,42.2,1.35
National Public School,Rural,Male,General,3,8,2020,Bengaluru Rural,Enrolled,Not applicable,Primary,15000,67.74,90.125,34.6,2.52
Delhi Public School,Rural,Female,ST,5,10,2020,Shivamogga,Enrolled,Not applicable,Secondary,60000,68.21,92.4,22.6,5.15
Freedom International School,Urban,Female,ST,8,13,2024,Udupi,Enrolled,Not applicable,Graduate,50000,67.74,90.125,49.2,1.56
Sri Taralabalu Central School,Rural,Female,OBC,10,15,2024,Shivamogga,Dropout,Family Issues,Graduate,25000,52.757,79.65,35.5,1.32
Jain International School,Urban,Male,General,10,15,2018,Ballari,Enrolled,Not applicable,No Schooling,25000,70.73,90.125,38.4,1.76
Assisi Central School,Urban,Female,OBC,1,6,2019,Tumakuru,Dropout,Other,Graduate,10000,52.757,79.65,27.1,1.95
Maharishi Public School,Urban,Female,SC,9,14,2023,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,34.5,1.71
National Public School,Urban,Female,ST,8,13,2018,Belagavi,Dropout,Poverty,Primary,10000,52.757,79.65,32.9,2.24
Delhi Public School,Semi-Urban,Female,General,9,14,2020,Mysuru,Dropout,Health issues,Secondary,50000,52.757,67.69,22.2,1.07
New Oxford School,Semi-Urban,Male,OBC,8,13,2019,Shivamogga,Enrolled,Not applicable,Post-Graduate,50000,68.88,99.95,23.2,2.32
Mount Litera Zee School,Semi-Urban,Female,SC,3,8,2019,Udupi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,45.1,1.36
Freedom International School,Urban,Male,OBC,6,11,2020,Ballari,Enrolled,Not applicable,Primary,10000,67.74,90.125,27.2,1.5
Mount Litera Zee School,Urban,Female,General,10,15,2020,Dharwad,Enrolled,Not applicable,Secondary,100000,67.74,94.52,25.8,1.98
Mount Litera Zee School,Semi-Urban,Female,OBC,8,13,2019,Udupi,Enrolled,Not applicable,Primary,25000,83.24,90.125,35.1,0.15
New Oxford School,Semi-Urban,Male,OBC,3,8,2019,Tumakuru,Dropout,Lack of interest,No Schooling,10000,41.41,79.65,43.1,2.0
Delhi Public School,Urban,Male,SC,8,13,2024,Belagavi,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,21.9,1.89
Sri Taralabalu Central School,Semi-Urban,Male,General,4,9,2024,Udupi,Dropout,Poverty,No Schooling,50000,52.757,79.65,37.3,1.0
Freedom International School,Rural,Female,General,10,15,2022,Mysuru,Dropout,Migration,Primary,15000,52.757,63.73,23.6,1.19
New Oxford School,Semi-Urban,Female,SC,5,10,2022,Mysuru,Dropout,Bullying,No Schooling,10000,52.757,79.65,21.1,0.36
Mount Litera Zee School,Urban,Female,SC,3,8,2019,Bengaluru Rural,Enrolled,Not applicable,Secondary,100000,67.74,90.125,21.6,2.78
Freedom International School,Urban,Female,General,7,12,2024,Tumakuru,Enrolled,Not applicable,Primary,25000,67.74,90.125,45.0,2.1
Mount Litera Zee School,Semi-Urban,Female,ST,3,8,2023,Belagavi,Dropout,Migration,Primary,25000,52.757,79.65,23.5,0.47
Jain International School,Rural,Female,SC,9,14,2018,Belagavi,Dropout,Long distance to school,Graduate,15000,35.99,77.92,21.4,2.84
National Public School,Semi-Urban,Male,ST,7,12,2024,Bengaluru Rural,Dropout,Lack of interest,Secondary,10000,47.57,77.88,33.1,1.82
Freedom International School,Semi-Urban,Male,SC,2,7,2024,Dakshina Kannada,Enrolled,Not applicable,Higher Secondary,50000,67.74,90.125,45.3,2.52
Delhi Public School,Urban,Female,OBC,8,13,2020,Tumakuru,Dropout,Financial hardship,Primary,25000,35.35,76.03,27.9,0.23
Maharishi Public School,Semi-Urban,Male,SC,1,6,2019,Bengaluru Rural,Enrolled,Not applicable,Primary,25000,67.74,93.42,32.7,0.79
Delhi Public School,Semi-Urban,Female,OBC,1,6,2019,Dakshina Kannada,Dropout,Family responsibilities,No Schooling,60000,52.757,79.65,21.2,2.68
